Admit ID,Trial % Present,Trial Last Internal Rating,Trial Avg TRACK Score,Trial Techability Score,Trial Learnability Score,Trial Communicability Score,Practice Head,RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP- Learnability,RFP-Communicability,RFP Avg TRACK Score,Last Graduation,Year,TechCategory
CIC062022-12157,92.86%,Improvement needed,3.72,1.32,1.58,0.82,Ashish,100.00%,Need Less Help,Meets expectations,4.14,1.305714286,1.428571429,0.9314285714,3.84,BSc Non IT,2019,FullStack
CIC062022-12176,85.71%,Improvement needed,3.53,1.04,1.61,0.88,Ashish,92.00%,,,3.42,1.365,1.43,0.673125,3.47,Other,2018,
CIC062022-12164,85.71%,Improvement needed,3.63,1.18,1.63,0.82,Ashish,91.23%,,,0,1.248,1.268,0.88,3.67,B.E. / B.TECH Non IT,2017,AdvTech-2
CIC062022-12205,92.86%,Meets expectations,3.29,1.22,1.48,0.595,Sunil,95.65%,Need More Help,Improvement needed,0.425,0.4625,,,0.46,B.E. / B.TECH,2019,
CIC062022-12227,100.00%,Meets expectations,4.05,1.56,1.64,0.85,Ashish,100.00%,Need Less Help,Meets expectations,4.34,1.6875,1.59,0.94,4.22,B.E. / B.TECH Non IT,2018,FullStack
CIC062022-12250,85.71%,Meets expectations,4.08,1.59,1.64,0.85,Sunil,100.00%,Need More Help,Improvement needed,3.755,1.475,1.52,0.76,3.76,B.E. / B.TECH,2018,
CIC042022-11907,100.00%,Improvement needed,3.5,1.4,1.4,0.7,Gunjan,76.27%,Need Less Help,Unsatisfactory,3.62,1.405,1.373611111,0.7066666667,3.49,B.E. / B.TECH,2020,
CIC052022-11948,92.31%,Meets expectations,3.9,1.56,1.35,1,Nagendra,100.00%,Need More Help,Improvement needed,3.92,1.511111111,1.611111111,0.7733333333,3.9,B.E. / B.TECH Non IT,2017,FullStack
CIC052022-11965,100.00%,Exceeds expectations,3.87,1.52,1.38,0.97,Nagendra,70.97%,Need More Help,Improvement needed,3.36,1.4875,1.49,0.76,3.74,B.E. / B.TECH Non IT,2018,FullStack
CIC052022-12092,92.86%,Meets expectations,3.51,1.32,1.51,0.68,Nagendra,90.32%,Need Less Help,Improvement needed,4.16,1.537,1.419,0.9025,3.86,B.E. / B.TECH IT,2021,FullStack
CIC042022-11825,83.33%,Improvement needed,3.25,1.32,1.26,0.665,Sunil,88.24%,Need More Help,Improvement needed,3.16,0.99,1.421428571,0.8714285714,3.28,B.E. / B.TECH,2022,
CIC062022-12207,100.00%,Improvement needed,3.33,1.3,1.33,0.7,Nagendra,4.84%,,,0,,,,,B.E. / B.TECH Non IT,2020,
CIC062022-12167,100.00%,Improvement needed,3.39,1.29,1.4,0.7,Nagendra,100.00%,Need Less Help,Improvement needed,4.11,1.377142857,1.484285714,0.625,3.49,B.E. / B.TECH,2021,BasicTech
CIC062022-12229,100.00%,Improvement needed,3.28,1.22,1.37,0.7,Gunjan,77.61%,Need More Help,Improvement needed,3.01,1.1725,1.30625,0.7975,3.28,B.E. / B.TECH,2020,
CIC052022-12109,91.67%,Meets expectations,3.47,1.37,1.4,0.7,Nagendra,75.81%,Need No Help,Meets expectations,4.505,1.7075,1.6475,0.86875,4.22,B.E. / B.TECH Non IT,2020,FullStack
CIC062022-12159,100.00%,Meets expectations,4.11,1.53,1.67,0.91,Nagendra,75.81%,Need No Help,Meets expectations,4.505,1.73,1.655,0.85,4.24,B.E. / B.TECH Non IT,2019,FullStack
CIC062022-12206,91.67%,Improvement needed,3.39,1.29,1.4,0.7,Nagendra,30.65%,Need Less Help,Improvement needed,0,1.38,1.33,0.7,3.41,B.E. / B.TECH CS,2018,
CIC062022-12210,91.67%,Meets expectations,3.47,1.37,1.4,0.7,Nagendra,98.39%,Need Less Help,Improvement needed,3.98,1.568,1.564,0.70375,3.84,B.E. / B.TECH CS,2017,FullStack
CIC052022-12117,85.71%,Meets expectations,4.29,1.62,1.73,0.94,Gunjan,44.07%,Need Less Help,Meets expectations,3.73,1.61,1.375,0.7,3.69,B.E. / B.TECH,2022,FullStack
CIC052022-12121,92.86%,Improvement needed,3.4,1.42,1.33,0.655,Nagendra,88.10%,Need Less Help,Improvement needed,3.7725,1.515714286,1.481428571,0.55,3.55,BSc,2018,AdvTech-1
CIC062022-12251,100.00%,Meets expectations,4.05,0.85,,,Nagendra,96.72%,Need Less Help,Improvement needed,4.22,1.457777778,1.7,0.8933333333,4.05,B.E. / B.TECH Non IT,2019,FullStack
CIC062022-12246,100.00%,Improvement needed,3.55,0.82,,,Nagendra,90.16%,Need Less Help,Improvement needed,3.6,1.326666667,1.384444444,0.82,3.53,B.E. / B.TECH CS,2020,AdvTech-1
CIC062022-12228,100.00%,Improvement needed,3.71,0.79,,,Nagendra,81.97%,Need Less Help,Improvement needed,4.22,1.5725,1.64,0.9025,4.12,B.E. / B.TECH Non IT,2016,AdvTech-1
CIC062022-12225,100.00%,Improvement needed,3.39,0.82,,,Sunil,33.33%,Need More Help,Improvement needed,3.4125,1.3125,1.288,0.5425,3.14,B.E. / B.TECH,2019,
CIC062022-12222,100.00%,Meets expectations,4.01,0.88,,,Nagendra,95.08%,Need Less Help,Improvement needed,3.6,1.312222222,1.403333333,0.8733333333,3.59,B.E. / B.TECH Non IT,2019,FullStack
