Admit ID,RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
CIC012021-8041,76.0,Need No Help,Meets expectations,3.34,1.68,1.72,B.E. / B.TECH Non IT,0.86,4.26,FullStack_DeepTech,2019.0,Sunil
CIC012021-8044,89.0,Need Less Help,Improvement needed,3.6,1.22,1.51,B.E. / B.TECH CS,0.67,3.4,AdvTech_1_2,2020.0,Dilip
CIC012021-8052,79.0,Need Less Help,Meets expectations,4.4,1.74,1.75,B.E. / B.TECH CS,0.93,4.42,FullStack_DeepTech,2020.0,Sunil
CIC012021-8056,97.0,Need More Help,Improvement needed,3.32,1.21,1.29,B.E. / B.TECH CS,0.74,3.24,BasicTech,2020.0,Dilip
CIC012021-8066,76.0,Need Less Help,Meets expectations,4.28,1.59,1.66,B.E. / B.TECH CS,0.88,4.13,AdvTech_1_2,2020.0,Sunil
CIC012021-8078,74.0,Need No Help,Meets expectations,3.34,1.59,1.82,B.E. / B.TECH Non IT,0.92,4.33,FullStack_DeepTech,2018.0,Dilip
CIC012021-8083,63.0,Need Less Help,Meets expectations,3.34,1.49,1.54,B.E. / B.TECH Non IT,0.79,3.81,StdTech,2020.0,Dilip
CIC012021-8086,94.0,Need Less Help,Improvement needed,3.91,1.43,1.61,MCA,0.72,3.76,StdTech,2018.0,Ashish
CIC012021-8087,92.0,Need No Help,Improvement needed,4.28,1.65,1.69,MSc CS/IT,0.85,4.2,AdvTech_1_2,2020.0,Ashish
CIC012021-8089,87.0,Need More Help,Improvement needed,3.58,1.24,1.55,B.E. / B.TECH Non IT,0.69,3.48,StdTech,2020.0,Ashish
CIC012021-8090,90.0,Need No Help,Meets expectations,4.28,1.6,1.76,MSc CS/IT,0.85,4.22,AdvTech_1_2,2020.0,Ashish
CIC012021-8091,90.0,Need Less Help,Improvement needed,3.67,1.27,1.49,B.E. / B.TECH IT,0.69,3.45,FullStack_DeepTech,2018.0,Ashish
CIC012021-8093,92.0,Need Less Help,Improvement needed,3.94,1.57,1.55,B.E. / B.TECH Non IT,0.74,3.85,FullStack_DeepTech,2019.0,Gunjan
CIC012021-8094,81.0,Need More Help,Improvement needed,3.21,1.28,1.37,B.E. / B.TECH IT,0.59,3.23,BasicTech,2019.0,Ashish
CIC012021-8095,25.0,Need More Help,Unsatisfactory,1.75,0.7,0.7,B.E. / B.TECH Non IT,0.35,1.75,BasicTech,2020.0,Sunil
CIC012021-8099,94.0,Need More Help,Improvement needed,3.4,1.25,1.47,B.E. / B.TECH IT,0.77,3.5,StdTech,2019.0,Ashish
CIC012021-8100,81.0,Need No Help,Improvement needed,4.4,1.6,1.55,B.E. / B.TECH Non IT,0.78,3.93,BasicTech,2018.0,Ashish
